tconst,Title,Genres,runtime_minutes,vote_average,vote_count,budget_est,worldwide_gross,release_day,release_month,release_year
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows,"['Action', 'Adventure', 'Comedy', 'Family', 'Science Fiction']",112.0,5.9976483677649375,79094.0,135000000.0,245476111.0,3,6,2016
tt4501244,Why Him?,['Comedy'],111.0,6.2,92122.0,38000000.0,117729714.5,23,12,2016
tt0918940,The Legend of Tarzan,"['Action', 'Adventure']",109.5,6.286703920755108,154256.0,180000000.0,352822543.0,1,7,2016
tt4846340,Hidden Figures,"['Drama', 'History']",127.0,7.805357112391309,175841.0,25000000.0,231235253.5,10,12,2016
tt4196776,Jason Bourne,"['Action', 'Thriller']",123.0,6.590703218730529,194207.0,120000000.0,415826615.0,29,7,2016
tt3531824,Nerve,"['Mystery', 'Adventure', 'Crime']",96.0,6.525649145028499,107372.0,19500000.0,77946890.0,27,7,2016
tt1489889,Central Intelligence,"['Action', 'Comedy', 'Mystery']",107.0,6.3,142005.0,50000000.0,217083674.0,17,6,2016
tt4651520,Bad Moms,['Comedy'],100.0,6.207532447466008,103552.0,20000000.0,182467395.0,29,7,2016
tt4052882,The Shallows,"['Horror', 'Drama', 'Thriller']",86.0,6.3,109964.0,15000000.0,118932100.0,24,6,2016
tt1355644,Passengers,"['Drama', 'Romance', 'Science Fiction']",116.0,6.995065715217337,318952.0,110000000.0,302691912.0,21,12,2016
