genre_ids,id,original_language,original_title,popularity,release_date,title,vote_average,vote_count,runtime,budget_est,revenue,imdb_id,req_title,production_companies
[27],7978,en,The Wolfman,14.03,2010-02-12,The Wolfman,5.7,1009,102.0,150000000.0,0.0,tt0780653,0.0,"['Universal Pictures', 'Relativity Media', 'Stuber Productions']"
"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,98.0,100000000.0,167805466.0,tt0477080,0.0,"['Prospect Park', 'Scott Free Productions', 'Firm Films', 'Millbrook Farm Productions', '20th Century Fox']"
"[18, 53]",44214,en,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,108.0,13000000.0,329398046.0,tt0947798,0.0,"['Dune Entertainment', 'Fox Searchlight Pictures', 'Cross Creek Pictures', 'Protozoa Pictures']"
"[16, 12, 10751, 14]",44683,en,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,76.0,0.0,0.0,tt1216515,0.0,"['DisneyToon Studios', 'Prana Animation Studios']"
"[10749, 18]",61979,es,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,122.0,0.0,0.0,tt1648216,0.0,['Atresmedia']
"[12, 28, 18]",23759,en,Centurion,13.548,2010-02-15,Centurion,6.1,673,97.0,12000000.0,6890432.0,tt1020558,0.0,"['Pathé Pictures International', 'UK Film Council', 'Celador Films', 'CinéCinéma', 'Warner Bros. Pictures', 'Canal+']"
"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,107.0,100000000.0,170432927.0,tt1386588,0.0,"['Columbia Pictures', 'Gary Sanchez Productions', 'Mosaic Media Group', 'Sony Pictures']"
"[80, 18, 53]",23168,en,The Town,13.475999999999999,2010-09-17,The Town,7.1,2386,125.0,37000000.0,154026136.0,tt0840361,0.0,"['Legendary Pictures', 'GK Films', 'Thunder Road', 'Warner Bros. Pictures']"
"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,81.0,47000000.0,10539000.0,tt1075747,0.0,['Warner Bros. Pictures']
"[12, 28, 878]",20526,en,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,125.0,170000000.0,400062763.0,tt1104001,0.0,"['Revolution Sun Studios', 'Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Kontsept Film Company']"
"[12, 14, 28, 10749]",9543,en,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,116.0,150000000.0,335154643.0,tt0473075,0.0,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']"
"[35, 16, 10751]",9994,en,The Great Mouse Detective,13.347999999999999,1986-07-02,The Great Mouse Detective,7.1,769,74.0,14000000.0,38625550.0,tt0091149,0.0,"['Silver Screen Partners II', 'Walt Disney Pictures']"
"[14, 18]",7980,en,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,136.0,65000000.0,93621340.0,tt0380510,0.0,"['WingNut Films', 'Key Creatives', 'New Zealand Large Budget Screen Production Grant', 'DreamWorks Pictures', 'Film4 Productions', 'Goldcrest', 'Paramount']"
[18],705,en,All About Eve,13.163,2000-10-06,All About Eve,8.2,685,139.0,1400000.0,150438.0,tt0042192,0.0,['20th Century Fox']
"[18, 12, 37]",44264,en,True Grit,13.118,2010-12-22,True Grit,7.2,2816,110.0,38000000.0,252276927.0,tt1403865,0.0,"['Paramount', 'Scott Rudin Productions', 'Mike Zoss Productions', 'Skydance Media']"
"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,2010-10-08,I Spit on Your Grave,6.3,977,108.0,2000000.0,572809.0,tt1242432,0.0,"['Anchor Bay Films', 'CineTel Films']"
"[28, 80]",23483,en,Kick-Ass,13.08,2010-04-16,Kick-Ass,7.1,7540,117.0,28000000.0,96188903.0,tt1250777,0.0,"['Marv Films', 'Lionsgate']"
"[35, 878, 16]",51888,en,Robot Chicken: Star Wars Episode III,13.062000000000001,2010-12-19,Robot Chicken: Star Wars Episode III,7.5,60,45.0,0.0,0.0,tt1691338,0.0,"['Lucasfilm Ltd.', 'Sony Pictures Digital', 'Stoopid Monkey', 'ShadowMachine']"
"[28, 9648, 53]",27576,en,Salt,13.025,2010-07-23,Salt,6.3,3240,100.0,110000000.0,293329073.0,tt0944835,0.0,"['Wintergreen Productions', 'Columbia Pictures', 'Relativity Media', 'Di Bonaventura Pictures']"
"[10770, 16, 14, 10751]",47626,en,Legend of the BoneKnapper Dragon,13.013,2010-10-15,Legend of the BoneKnapper Dragon,6.4,116,16.0,0.0,0.0,tt1744776,0.0,['DreamWorks Animation']
"[28, 80, 53]",26389,en,From Paris with Love,12.862,2010-02-05,From Paris with Love,6.2,1075,92.0,52000000.0,52826594.0,tt1179034,0.0,"['M6', 'M6 Films', 'TPS Star', 'Grive Productions', 'EuropaCorp', 'Apipoulaï', 'W9', 'Canal+']"
"[28, 16, 9648]",40662,en,Batman: Under the Red Hood,12.704,2010-07-27,Batman: Under the Red Hood,7.7,756,75.0,0.0,6629178.0,tt1569923,0.0,"['DC Comics', 'Warner Bros. Animation', 'Warner Bros. Pictures', 'DC Entertainment']"
"[16, 12, 14, 10751]",42949,en,Arthur 3: la guerre des deux mondes,12.679,2010-08-22,Arthur 3: The War of the Two Worlds,5.6,865,101.0,70200000.0,0.0,tt0940656,0.0,"['EuropaCorp', 'Apipoulaï', 'Avalanche Productions']"
"[35, 10751, 14]",23023,en,Tooth Fairy,12.65,2010-01-22,Tooth Fairy,5.3,1058,101.0,48000000.0,112462508.0,tt0808510,0.0,"['Dune Entertainment', 'Dune Entertainment III', 'Walden Media', 'Mayhem Pictures', '20th Century Fox', 'Blumhouse Productions']"
"[28, 35, 53]",23631,en,Machete,12.557,2010-09-03,Machete,6.3,1862,105.0,20000000.0,44093316.0,tt0985694,0.0,"['Dune Entertainment', 'Overnight Films', 'Troublemaker Studios']"
"[80, 18, 9648, 10749]",25376,es,El secreto de sus ojos,12.530999999999999,2010-04-16,The Secret in Their Eyes,7.9,1141,130.0,2000000.0,33965843.0,tt1305806,0.0,"['Canal+ España', '100 Bares', 'Tornasol Films', 'Ministerio de Cultura', 'INCAA', 'Haddock Films', 'Instituto de Crédito Oficial (ICO)', 'TVE', 'Telefe']"
[35],35056,en,Date Night,12.498,2010-04-08,Date Night,6.0,1743,97.0,55000000.0,152263880.0,tt1279935,0.0,"['Dune Entertainment', '21 Laps Entertainment', '20th Century Fox']"
"[35, 18]",41733,en,Due Date,12.445,2010-11-04,Due Date,6.3,2973,95.0,65000000.0,211780824.0,tt1231583,0.0,"['Legendary Pictures', 'Green Hat Films', 'Warner Bros. Pictures']"
